
@relation taskC-data
@attribute tweet string
@attribute taskC {IND,GRP,OTH}

@data
"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa\, Muslim Brotherhood\, MS13\, ISIS\, Pedophilia\, Child Trafficking\, Taxpayer Funded Abortions\, Election Fraud\, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon @USER URL",OTH
"#NoPasaran: Unity demo to oppose the far-right in #London  #antifa #Oct13  Enough is Enough! URL",GRP
". . . What the fuck did he do this time?",IND
"@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?",OTH
"#StopKavanaugh he is liar like the rest of the #GOP URL",IND
"@USER @USER Put DeLauro in a police lineup identifying the bag lady' - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!'",IND
"@ ALL FAMILY/FRIENDS \, do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!",GRP
"#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL",IND
"#ArianaAsesina? Is that serious?! Holy shit\, please your fucking assholes\, don't blame someone for the death of other one. She is sad enough for today\, don't you see? It isn't fault of none\, he had an overdose and died. End. Stop wanting someone to blame\, fuckers.",IND
"@USER How is she hiding her ugly personality. She is the worst.",IND
"@USER @USER @USER @USER @USER @USER @USER @USER @USER Im shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But dont worry about the actual crime.  The pic of black guns is worse.",GRP
"#Conservatives @USER - You're  a clown!  URL",IND
"#Kids Beating #Paraplegic #Trump #Boy!  #Left Teach Their #Children Hate Violence!  #schools #teachers #Democrats #Liberals #WalkAway #Moms #Mother #NEA #teachthemyoung #Christian #Catholic #Jews #Evangelicals #family #BlackWomen #BlackTwitter #Blacks #News #Media #Disabled #MAGA URL",GRP
"*gets all the bitches*",OTH
"#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL",GRP
"@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-",IND
"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly\, and they have no integrity. Whatever gets them thru today\, is all that matters to them. They're fundamentally dishonest people. URL",GRP
"@USER @USER @USER @USER Then why arent there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  Youre full of crap.",GRP
"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government\, attempting to bring down #America  #Trump #MAGA #DeepState  URL",OTH
"@USER Antifa has TS level influence. It's scary.",OTH
"@USER I have three accounts. Two quasi-anonymous\, and one completely anon. And if twitter ever bans one of the quasi-anon\, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned\, I'll make even more.",IND
"#Liberals are so pathetic!  INNOCENT UNTIL PROVEN GUILTY mean much?  #Democrats should look at their own party if they need a rapist to hang!  #KavanaughIsInnocent #WalkAwayFromDemocrats. #LiberalLies are straight from the Pitts of HELL  URL",GRP
"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If youre in the mid Atlantic\, get out. Now. URL",IND
"#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL",IND
"#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.",GRP
"#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to...",IND
"#ColinKapernaeck has done nothing but sit on his ass and complain. Its time black people and die hard white liberals\, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",IND
". JEFF SESSIONS: LISTEN TO THE ACLU\, ANTIFA\, BLACK LIVES MATTER IF YOU WANT MORE CHICAGO SHOOTINGS  . URL",OTH
"Amazon will ship live Christmas trees to your door  but will they stay and put on the damn lights? URL",OTH
"@USER I BET she is a lot safer when she has sex now tho ? Or she wouldnt have just one but a few kids . Why cant moms get dicked down too ?",IND
"#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL",OTH
"#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL",IND
"#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL",IND
"#BoycottNFL .@USER You are dead to me. @USER @USER URL",IND
"@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town\, who's  #MAGA.  Get out and VOTE - ALL COLORS\, ALL GENDERS (AKA) ALL AMERICANS!!! URL",IND
"#BlaseyFord Its so comical that liberals always want it both ways first women need to be treated as equals but when it comes to Ford testifying they say its unfair to have more men asking her questions. Which is it Dems are women equal or should we receive special treatment?",GRP
"#Ted always has a feel for the most appropriate public behavior. But\, often\, he is unable to control himself. #GOPDysfunction URL",IND
"@USER  Stick to Comedy ... You weren't that funny yo start with\, but that political commentary of yours is pathetic !!!",IND
"@USER #Holder needed to be impeached",IND
"#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture",GRP
"#SierraBurgessIsALoser  She is me when my phone dings ",IND
"@USER #metoo are all racist!",GRP
"#GOP still acting like the wimps they are.. What!? they havent yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or theyre just tilted to far left.. #ConfirmKavanaughNow",GRP
"#DregsOfSociety  ??? #Deplorables   Liberals usually dehumanize those they want to exterminate later URL",GRP
"#EmmyAwards2018 - Ratings tank as expected.  Who can possibly stand to watch so many liberals in one place at one time.",GRP
"@USER #Gutierrez has always been nothing more than a #racebaiter",IND
"#Elitist #Actors #NBC #Liberals of #Dems in #Hollywood at the #Emmy Awards a 'toothless' #NBC self-promotion onslaught peppered with #MeToo cracks but it was planned\, staged and okay because they are #Democrats #Socialist #Liberals of the #Left #WALKAWAY ! URL",IND
"#DrFord  #DearProfessorFord  Is a FRAUD Female @USER group paid for and organized by #GeorgeSoros URL",IND
"#BlueWave #DumpTrump give my love 2\, or cooperate/compromise w/\, conservatives/Trump supporters who constantly vilify marginalized groups\, who constantly attack womens rights 2 make choices about their own bodies\,",GRP
"#NightMayor 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshis communist vape shop!",IND
"#ArunJaitleyStepDown He is most shameless #FM in history of India and audacity and shamelessness with which is lies in public is disgrace to post.",GRP
"#Conservatives 2 bn Housing on-trick @USER -  What a crock of sh#te'! @USER #HousingCrisis  URL",IND
"#Coupdetat of #Spain in #Catalona. #Spain is a  #fakedemocracy @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cddr #shameonSpain #WakeupEurope @USER @USER URL",GRP
"#Liberalismisamentaldisorder\, but it is also a danger to our country. #Liberals are showing themselves to be utterly hateful. They do not CARE about TRUTH\, they only care about POWER.",OTH
"@USER These are all  coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? Idiots!",GRP
"@USER @USER Awwww she is so stinking cute! How old is she now?",IND
"#JoinTheFight    Join the fight against American Communists... Democrats  and  Liberals have taken this crap to the edge and there is no coming back. They are  openly promoting the Destruction of  AMERICA.  #JoinTheFightAgainstCommunism URL",GRP
"@USER @USER has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but hes not because hes #Zionel",OTH
"#Khaleesi kinda watching #HIAC ! Wtf does she think she is\, a person? Pffft pathetic URL",IND
"And females b on the same shit URL",GRP
"#DeclassifyDocuments I love watching liberals like Maria squirm. #Outnumbered",GRP
"#PoliticsInFocus Look Donald! You are only a duck\, stop patronizing me! URL",IND
"#CarbonTax works and will put tons more money BACK INTO Canadian pockets.  .@USER  .@USER  .@USER .@USER  Part of why Trudeau won in 2015 was campaigning on a national carbon tax. Conservatives died then. They want another death in 2019...we will oblige. URL",OTH
"Antonia Evans was either sex trafficked or cremated.",IND
"#TheView stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of",IND
"And these entertainment agencies just gonna have to be an ass about it. URL",OTH
"#Trump Really\, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.",IND
"#DisarmThem? This goes to show how moronic Antifa types are\, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot\, so don't do it. #2A URL",GRP
"#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe",GRP
"#CincinnatiEnquirer steps into #Gun Control FINALLY. Took a #MassShhoting on their damn door step for their #editors to wake up\, but better late than never. URL",OTH
"!!!!bitch im fucking coming back URL",IND
"#Liberals Are Reaching Peak Desperation To Call On #PhillipRuddock To Talk With #Turnbull To Convince Him To Help with #WentworthVotes 18 Sept 2018  @USER #Auspol #LNP #NSWpol @USER  @USER @USER #LNPMemes URL",GRP
"#Democrat controlled city with strict gun control laws and @USER wants to blame the #GOP Um\, isnt it you rich #Democrats trying to keep the blacks in poverty? #WalkAway URL",GRP
"@USER Got to love that the people making the laws tend to know nothing about the subject they're making the law for. You should hear some of the gun control laws people try to pass here in the states.",GRP
"@USER #WalkAWayFromCatholicism it is a corrupt to the core and become a giant autocratic pedophile ring.",OTH
"#CALIFORNIA PATRIOTS... especially those in #CA21  Obama/Soros are attempting to take this House seat to get control of Congress.  Say no to TJ Cox.  He is a shill Candidate fronted by the dastardly duo.  Please get out and vote David Valadao for House\, Dist 21! Follow @USER URL",IND
"- When she takes her nigga name out her bio. URL",OTH
"#ArrestGeorgeSoros He Funds #DomesticTerrorists #Antifa URL",IND
"#Conservatives Govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. #inequality  URL via @USER",GRP
"#CrowderConfronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #dontbeafraid #confrontwithtruth URL",OTH
"#BiggBossTelugu2 how many of you #KaushalArmy cum @USER fans... URL",GRP
"@USER @USER @USER Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasnt produced any talent like Pulisic in a long time. Its okay\, maybe you guys will one day.",OTH
"#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her moms death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials",IND
"#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her moms death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials",IND
"#Christian #America  If we go by #Trumps example\, where liberals support open borders\, I guess conservatives support school shootings.   Please explain how this makes America great again.",GRP
"@USER @USER @USER She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.",IND
"#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You should #broadcast your #Armory and #killSkills #RightFuckingNOW URL",GRP
"699. Just wanted to tell you you should Hang Out With Me More. i think itll be fun! Also\, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside\, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER",IND
"#AVALANCHE I'm sorry! I see you! I love you! I was an asshole! You know how we are #maga",IND
"#FF @USER he is an alien from the future  URL",GRP
"#FamiliarWife JH-OMG\, she is crazy WJ-Wait!....yes\, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some'? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy\, there is congestion JH-Woo-jin~ URL",IND
"#ThingsDarthVaderWouldNeverSay yup \, white mask privilege at it's finest. Always trying to keep a black mask down #BlackLivesMatter #Qanon #Antifa #AlexJones #Infowars #StarWars #maytheforcebewithyou #thirdshiftzombies #Podcast #radio #WhiteSupremacy URL",GRP
"All Im saying if we cool and you feel any type of way about me.. speak the fuck up.",IND
